Campaign,Number,Period,low,high
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2004,2,H,-350,-50
SLP-2004,1,H,-350,-50
SLP-2004,1,H,-350,-50
SLP-2004,1,H,-350,-50
SLP-2004,3,H,-350,-50
SLP-2004,1,H,-350,-50
SLP-2004,1,H,-350,-50
SLP-2004,1,H,-350,-50
SLP-2004,1,H,-350,-50
SLP-2004,1,H,-350,-50
SLP-2004,3,H,-350,-50
SLP-2004,4,H,-350,-50
SLP-2004,1,H,-350,-50
SLP-2004,2,H,-350,-50
SLP-2004,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2004,1,H,-350,-50
SLP-2004,1,H,-350,-50
SLP-2004,3,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,3,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,5,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,6,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,6,H,-350,-50
SLP-2005,2,H,-350,-50
SLP-2005,4,H,-350,-50
SLP-2005,7,H,-350,-50
SLP-2005,1,H,-350,-50
SLP-2005,1,H,-350,-50
